NAME,NETWORK,Zone,longitude,latitude
Harringay Green Lanes,London Overground,3,-0.096693484,51.57659043
Kew Gardens,London Overground,3,-0.283465911,51.47656919
Leyton Midland Road,London Overground,3,-0.00583941,51.56914561
Leytonstone High Road,London Overground,3,0.009121703,51.56347619
Stratford,TfL Rail,3,-0.002182514,51.54094802
Maryland,TfL Rail,3,0.007539167,51.54554249
Forest Gate,TfL Rail,3,0.02615387,51.54895648
Wimbledon (Tramlink),Tramlink,3,-0.204395752,51.42048966
Dundonald Road,Tramlink,3,-0.206116509,51.41708633
Merton Park,Tramlink,3,-0.199772348,51.41320626
BECKTON - DLR,DLR,3,0.063442568,51.51390419
BECKTON PARK - DLR,DLR,3,0.056557435,51.50826026
CUSTOM HOUSE - DLR,DLR,3,0.028149357,51.50922299
CYPRUS - DLR,DLR,3,0.065567428,51.50798477
GALLIONS REACH - DLR,DLR,3,0.073386821,51.50846722
KING GEORGE V - DLR,DLR,3,0.063920007,51.50151128
LONDON CITY AIRPORT - DLR,DLR,3,0.04977043,51.50315378
PONTOON DOCK - DLR,DLR,3,0.03485088,51.50176796
PRINCE REGENT - DLR,DLR,3,0.035815177,51.50885626
ROYAL ALBERT - DLR,DLR,3,0.047489859,51.50789742
ROYAL VICTORIA - DLR,DLR,3,0.019349595,51.50871834
WEST SILVERTOWN - DLR,DLR,3,0.023940282,51.50237959
CANNING TOWN - DLR,DLR,3,0.009772469,51.51339633
EAST INDIA - DLR,DLR,3,-0.000674542,51.50887121
GREENWICH - DLR,DLR,3,-0.011836627,51.47760944
PUDDING MILL LANE - DLR,DLR,3,-0.012349897,51.53368602
WEST HAM - DLR,DLR,3,0.006640951,51.52774122
STRATFORD - DLR,DLR,3,-0.001594174,51.54086921
STAR LANE - DLR,DLR,3,0.005780604,51.52030887
ABBEY ROAD - DLR,DLR,3,0.005308217,51.5318653
STRATFORD HIGH STREET - DLR,DLR,3,0.000869889,51.53752645
STRATFORD INTERNATIONAL - DLR,DLR,3,-0.007832275,51.54433906
South Acton,London Overground,3,-0.268894276,51.49891951
South Tottenham,London Overground,3,-0.070375895,51.58009969
Stonebridge Park,London Overground,3,-0.273853212,51.54346498
Walthamstow Queens Road,London Overground,3,-0.022254511,51.58097129
Wanstead Park,London Overground,3,0.027694662,51.55118604
Gunnersbury,London Overground,3,-0.274027392,51.49082016
Stratford,London Overground,3,-0.002307264,51.54107928
Hainault,London Underground,4,0.095143844,51.60313737
Grange Hill,London Underground,4,0.093957755,51.61269646
Colindale,London Underground,4,-0.248341905,51.59494713
Burnt Oak,London Underground,4,-0.262398845,51.60233699
Mill Hill East,London Underground,4,-0.208460194,51.60773582
Finchley Central,London Underground,4,-0.190951925,51.60043321
Sudbury Hill,London Underground,4,-0.335039246,51.55646384
Sudbury Town,London Underground,4,-0.314159662,51.55030341
Alperton,London Underground,4,-0.298361133,51.54022715
Arnos Grove,London Underground,4,-0.131434823,51.61595478
Southgate,London Underground,4,-0.126150933,51.6317626
Perivale,London Underground,4,-0.32183979,51.53624702
Greenford,London Underground,4,-0.34492109,51.54208841
Snaresbrook,London Underground,4,0.023019902,51.58017276
Leytonstone,London Underground,4,0.009807678,51.56781496
Wanstead,London Underground,4,0.030247766,51.57509659
Redbridge,London Underground,4,0.047039301,51.5757446
Gants Hill,London Underground,4,0.067825538,51.57602949
South Woodford,London Underground,4,0.028990141,51.59138934
Newbury Park,London Underground,4,0.091554903,51.57519974
Barkingside,London Underground,4,0.090259547,51.58519895
Fairlop,London Underground,4,0.092688126,51.59505439
Woodford,London Underground,4,0.035640856,51.60635963
Roding Valley,London Underground,4,0.045340184,51.61657815
Chigwell,London Underground,4,0.077229167,51.61715195
East Ham,London Underground,4,0.054454908,51.5388975
Upney,London Underground,4,0.103187503,51.53784406
Barking,London Underground,4,0.081813552,51.53937511
Morden,London Underground,4,-0.193160282,51.40201673
Hounslow Central,London Underground,4,-0.364716069,51.470809
Hounslow East,London Underground,4,-0.3547554,51.47275219
Osterley,London Underground,4,-0.350640896,51.48073359
Boston Manor,London Underground,4,-0.32401176,51.494711
Wembley Central,London Underground,4,-0.295237517,51.55177912
North Wembley,London Underground,4,-0.302293996,51.56189247
Richmond,London Underground,4,-0.300084253,51.46260595
Preston Road,London Underground,4,-0.293539223,51.57151381
Wembley Park,London Underground,4,-0.278458638,51.56325938
Kingsbury,London Underground,4,-0.277052309,51.58414203
Queensbury,London Underground,4,-0.284629817,51.59369962
South Kenton,London Underground,4,-0.306785037,51.56971265
Kenton,London Underground,4,-0.315140189,51.58111281
Woodside Park,London Underground,4,-0.183907004,51.61758971
West Finchley,London Underground,4,-0.186738929,51.60898928
